Model,Parameters,CV_Score,Test_R2,Test_RMSE
Random Forest (Tuned),"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10}",0.8859603445962857,0.9002971969248337,17.69546020288793
Gradient Boosting (Tuned),"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 2, 'max_depth': 3, 'learning_rate': 0.05}",0.8905218216239654,0.9159897696687216,16.243299993761823
