Model,RMSE,MAE,R²
Linear Regression,13.290942362699917,6.213526790284404,0.9437535400175607
Random Forest,16.809612807223445,6.575620983661589,0.910029721483458
Gradient Boosting,17.712817529823567,6.517774920614655,0.9001015057269467
XGBoost,26.15837469481829,7.938865267829434,0.7821261250158205
