OSEBuildingID,SiteEUI(kBtu/sf)_2015,SiteEUI(kBtu/sf)_2016,Δ_SiteEUI,Annual_EUI_Change_Rate,Risk_Score,Projected_EUI_2030,Projected_EUI_2040
27361,14.8,79.69999695,64.89999695,4.385134929054054,100.0,1374708304189.3506,2.8195282474655265e+19
26850,16.2,39.0,22.8,1.4074074074074074,100.0,8565621.934660343,56008614125.4711
19536,17.4,41.40000153,24.00000153,1.3793104327586208,100.0,7714643.852580175,44856663857.3562
34348,21.5,50.59999847,29.099998470000003,1.3534883009302328,100.0,8093178.456627616,42192917333.35167
23730,0.2,18.79999924,18.59999924,92.99999619999998,100.0,7.905831181230605e+28,4.258198442293778e+48
22674,10.6,23.10000038,12.500000380000001,1.1792453188679246,100.0,1258628.8775769267,3040597328.2429295
23174,25.3,221.0,195.7,7.7351778656126475,100.0,3328103384687784.0,8.608239349317656e+24
543,19.7,43.90000153,24.200001529999998,1.2284264736040609,100.0,3269195.2889443315,9872427579.029634
803,24.8,465.5,440.7,17.77016129032258,100.0,3.136691074901497e+20,1.7027535449295755e+33
797,0.9,2.099999905,1.1999999049999999,1.3333332277777776,100.0,297778.9499608561,1424497366.3407075
765,0.0,86.0,86.0,inf,100.0,inf,inf
23612,9.7,33.0,23.3,2.4020618556701034,100.0,918131353.423175,190689541517496.84
28033,64.2,149.6000061,85.4000061,1.3302181635514019,100.0,20820146.236919507,98276483269.68747
24547,2.3,6.699999809,4.3999998090000005,1.9130433952173918,100.0,21229127.7530305,934117898432.3615
24205,10.5,219.3999939,208.8999939,19.895237514285714,100.0,6.635886977092624e+20,1.0528635759221718e+34
24531,33.5,68.19999695,34.69999695,1.0358208044776118,100.0,1432643.1579017588,1751997620.4266043
26849,7.4,39.79999924,32.39999924,4.378378275675676,100.0,674530948380.5303,1.3662032715438762e+19
25004,35.1,108.3000031,73.2000031,2.0854701737891737,100.0,767586636.7865744,60026211101760.195
608,10.3,58.0,47.7,4.631067961165049,100.0,1869385017198.783,5.992477970370355e+19
58,0.0,21.70000076,21.70000076,inf,100.0,inf,inf
