Model,RMSE,MAE,R²
Linear Regression,13.290942362699917,6.213526790284404,0.9437535400175607
Stacking Ensemble,14.458765895807176,6.0255260439103875,0.9334349753788428
Gradient Boosting (tuned),16.243299993761823,6.394916811647727,0.9159897696687216
Random Forest (default),16.80961280722345,6.575620983661591,0.910029721483458
Random Forest (tuned),17.69546020288793,6.58267115866805,0.9002971969248337
Gradient Boosting (default),17.712817529823567,6.517774920614655,0.9001015057269467
XGBoost (default),26.15837469481829,7.938865267829434,0.7821261250158205
