Model,Version,RMSE,MAE,R²
Random Forest,Default,16.80961280722345,6.575620983661591,0.910029721483458
Random Forest,Optimized,17.69546020288793,6.58267115866805,0.9002971969248337
Gradient Boosting,Default,17.712817529823567,6.517774920614655,0.9001015057269467
Gradient Boosting,Optimized,16.243299993761823,6.394916811647727,0.9159897696687216
